test,method,n_pairs,mean_method,mean_random,mean_diff,t_stat,p_val,p_adj,reject,cohen_d,noise
testAB,aligns,100,73.95847889136763,73.98507803037374,-0.0265991390061113,-0.16589202912207132,0.5657098833154237,1.0,False,-0.016589202912207134,0.02
testAB,grad01_avg,100,73.2381732874123,73.98507803037374,-0.7469047429614538,-4.9823100131367015,0.9999986651593126,1.0,False,-0.49823100131367015,0.02
testAB,grad01_max,100,73.07407850335944,73.98507803037374,-0.9109995270143031,-6.259096478075533,0.9999999950121454,1.0,False,-0.6259096478075533,0.02
testAB,gradient_conf_avg,100,73.22222033959733,73.98507803037374,-0.7628576907764295,-5.456950713090167,0.999999820774281,1.0,False,-0.5456950713090167,0.02
testAB,gradient_conf_max,100,73.1512284112589,73.98507803037374,-0.833849619114854,-5.574981488257569,0.9999998927153462,1.0,False,-0.5574981488257569,0.02
testAB,gradient_input_avg,100,73.3513533958936,73.98507803037374,-0.6337246344801596,-3.855043824888194,0.9998971000467767,1.0,False,-0.38550438248881935,0.02
testAB,gradient_input_max,100,73.47022346520367,73.98507803037374,-0.514854565170068,-3.075528233164409,0.998641734077746,1.0,False,-0.30755282331644096,0.02
testAB,hamming_max,100,74.30574976368806,73.98507803037374,0.32067173331430454,2.0612390701180785,0.020950718894664787,0.293310064525307,False,0.20612390701180786,0.02
testAB,hamming_min,100,73.25135207419733,73.98507803037374,-0.7337259561764268,-4.58372637388757,0.9999933223761475,1.0,False,-0.45837263738875705,0.02
testAB,model_grad_avg,100,72.90777686536669,73.98507803037374,-1.0773011650070539,-7.215141167203476,0.9999999999448199,1.0,False,-0.7215141167203477,0.02
testAB,model_grad_max,100,73.2833124518651,73.98507803037374,-0.701765578508645,-4.27010365750117,0.9999775586479547,1.0,False,-0.4270103657501169,0.02
testAB,qbc,100,74.60611364744791,73.98507803037374,0.6210356170741756,4.511315535042462,8.873583310345358e-06,0.000124230166344835,True,0.4511315535042462,0.02
testAB,threshold_avg,100,74.59036282658491,73.98507803037374,0.6052847962111595,3.9403176821225445,7.585611856048095e-05,0.0010619856598467333,True,0.3940317682122545,0.02
testAB,threshold_max,100,74.3996715135512,73.98507803037374,0.41459348317745426,2.660067805403146,0.00455714682809007,0.06380005559326099,False,0.2660067805403146,0.02
testAG,aligns,100,75.60837447795826,75.36422833413884,0.24414614381944347,0.958770043182604,0.17000513252375576,1.0,False,0.0958770043182604,0.02
testAG,grad01_avg,100,74.89747092454878,75.36422833413884,-0.46675740959005735,-1.9730203568649518,0.974359165486579,1.0,False,-0.1973020356864952,0.02
testAG,grad01_max,100,74.83691673348248,75.36422833413884,-0.5273116006563541,-2.2708639703748115,0.9873394258967966,1.0,False,-0.22708639703748112,0.02
testAG,gradient_conf_avg,100,74.9458840957965,75.36422833413884,-0.4183442383423376,-1.8138440202817865,0.963634485081382,1.0,False,-0.18138440202817865,0.02
testAG,gradient_conf_max,100,75.10704223094486,75.36422833413884,-0.2571861031939699,-1.1146416592467052,0.8661486793362466,1.0,False,-0.11146416592467051,0.02
testAG,gradient_input_avg,100,75.07817982346032,75.36422833413884,-0.28604851067851866,-1.1322653555123603,0.8698710662947746,1.0,False,-0.11322653555123603,0.02
testAG,gradient_input_max,100,75.10183022354572,75.36422833413884,-0.2623981105931233,-1.0564224566520308,0.8533268083126349,1.0,False,-0.1056422456652031,0.02
testAG,hamming_max,100,75.12996739510157,75.36422833413884,-0.23426093903724576,-0.9520790726499486,0.8283122018215852,1.0,False,-0.09520790726499487,0.02
testAG,hamming_min,100,75.45552124983554,75.36422833413884,0.09129291569670343,0.4017600219311738,0.34436332062688785,1.0,False,0.040176002193117386,0.02
testAG,model_grad_avg,100,74.70116258726743,75.36422833413884,-0.6630657468714161,-2.957840944609172,0.998062709532965,1.0,False,-0.2957840944609172,0.02
testAG,model_grad_max,100,75.05190451339683,75.36422833413884,-0.3123238207419904,-1.3882895862533673,0.9159175338023686,1.0,False,-0.13882895862533676,0.02
testAG,qbc,100,76.0791717417443,75.36422833413884,0.7149434076054617,3.574219810241938,0.00027242211027737504,0.003813909543883251,True,0.35742198102419376,0.02
testAG,threshold_avg,100,75.96473848833841,75.36422833413884,0.600510154199591,2.5206752965553743,0.006655224198018178,0.09317313877225449,False,0.25206752965553747,0.02
testAG,threshold_max,100,75.94216260464454,75.36422833413884,0.5779342705056979,2.586302537703679,0.005578147224826951,0.0780940611475773,False,0.2586302537703679,0.02
test,aligns,100,68.72584146288011,68.46512402735956,0.2607174355205661,0.7853526050635685,0.21706117476534975,1.0,False,0.07853526050635685,0.03
test,grad01_avg,100,68.16005419447328,68.46512402735956,-0.3050698328862851,-0.9040264416915951,0.8159120098723764,1.0,False,-0.0904026441691595,0.03
test,grad01_max,100,68.12196355687192,68.46512402735956,-0.3431604704876247,-1.1022400305127846,0.8634851320026677,1.0,False,-0.11022400305127847,0.03
test,gradient_conf_avg,100,68.29536075444436,68.46512402735956,-0.16976327291519702,-0.5606480615211832,0.711847932045697,1.0,False,-0.05606480615211832,0.03
test,gradient_conf_max,100,68.58169704931008,68.46512402735956,0.11657302195051905,0.37271859212233355,0.35507733373151695,1.0,False,0.03727185921223335,0.03
test,gradient_input_avg,100,68.08032964946983,68.46512402735956,-0.3847943778897189,-1.2813603985767203,0.8984698537194905,1.0,False,-0.12813603985767202,0.03
